collection_date,collected_at_utc,views_14d,unique_visitors_14d,clones_14d,unique_cloners_14d
2026-08-11,,72,3,162,77
2026-08-12,2026-08-12T08:43:20.062223Z,72,3,162,77
2026-08-13,2026-08-13T08:47:32.644874Z,99,3,347,165
2026-08-14,2026-08-14T08:40:18.831103Z,99,3,349,165
2026-08-15,2026-08-15T07:47:57.469564Z,99,3,351,165
2026-08-16,2026-08-16T07:49:29.368657Z,105,3,353,165
2026-08-17,2026-08-17T08:04:45.077140Z,105,3,353,165
2026-08-18,2026-08-18T07:57:43.502564Z,103,3,364,171
2026-08-19,2026-08-19T07:57:38.553969Z,103,3,364,171
2026-08-20,2026-08-20T08:01:17.931178Z,107,3,368,171
2026-08-21,2026-08-21T08:01:22.991536Z,111,3,369,171
2026-08-22,2026-08-22T07:50:03.168820Z,76,3,372,172
2026-08-23,2026-08-23T07:51:29.306111Z,47,1,290,130
2026-08-24,2026-08-24T08:08:20.523905Z,44,1,248,110
